,PMCID,Abstract
0,1174877,"TITLE: 
Metabolic effect of telmisartan and losartan in hypertensive patients with metabolic syndrome

ABSTRACT.BACKGROUND:
Metabolic syndrome is a cluster of common cardiovascular risk factors that includes hypertension and insulin resistance. Hypertension and diabetes mellitus are frequent comorbidities and, like metabolic syndrome, increase the risk of cardiovascular events. Telmisartan, an antihypertensive agent with evidence of partial peroxisome proliferator-activated receptor activity-gamma (PPARγ) activity, may improve insulin sensitivity and lipid profile in patients with metabolic syndrome.

ABSTRACT.METHODS:
In a double-blind, parallel-group, randomized study, patients with World Health Organization criteria for metabolic syndrome received once-daily doses of telmisartan (80 mg, n = 20) or losartan (50 mg, n = 20) for 3 months. At baseline and end of treatment, fasting and postprandial plasma glucose, insulin sensitivity, glycosylated haemoglobin (HBA1c) and 24-hour mean systolic and diastolic blood pressures were determined.

ABSTRACT.RESULTS:
Telmisartan, but not losartan, significantly (p < 0.05) reduced free plasma glucose, free plasma insulin, homeostasis model assessment of insulin resistance and HbAic. Following treatment, plasma glucose and insulin were reduced during the oral glucose tolerance test by telmisartan, but not by losartan. Telmisartan also significantly reduced 24-hour mean systolic blood pressure (p < 0.05) and diastolic blood pressure (p < 0.05) compared with losartan.

ABSTRACT.CONCLUSION:
As well as providing superior 24-hour blood pressure control, telmisartan, unlike losartan, displayed insulin-sensitizing activity, which may be explained by its partial PPARγ activity."
1,1291385,"TITLE: 
Effects of co-administered dexamethasone and diclofenac potassium on pain, swelling and trismus following third molar surgery

ABSTRACT.BACKGROUND:
The apparent interactions between the mechanisms of action of non-steroidal anti-inflammatory drugs (NSAIDS) and steroids suggest that co-therapy may provide beneficial inflammatory and pain relief in the absence of side effects. The aim of the study was to compare the effect of co-administered dexamethasone and diclofenac potassium (diclofenac K) with diclofenac K alone on the postoperative pain, swelling and trismus after surgical removal of third molars.

ABSTRACT.PATIENTS AND METHODS:
A prospective randomized double-blind study was conducted at the Department of Oral and Maxillofacial Surgery, Lagos University Teaching Hospital, Nigeria. A total of 100 patients were randomly allocated to two treatment groups of dexamethasone (prophylactic 8 mg and postoperative 4 mg IV) and diclofenac K (50 mg Oral before and after surgery), and diclofenac K alone (as with first group). The overall analgesic efficacy of the drug combinations was assessed postoperatively by determination of pain intensity using a category rating scale. Facial swelling was measured using a tape measure placed from tragus to gonion to tragus, while interincisal mouth-opening of patients was measured using a vernier calibrated caliper pre-operatively and post-operatively.

ABSTRACT.RESULTS:
Co-administration of dexamethasone and diclofenac K was significantly superior to diclofenac alone for the relief of pain (P < 0.05), and facial swelling up to post-operative 48 hour (P < 0.05). However, there was no significant difference for trismus relief between the two medication protocols (P > 0.05).

ABSTRACT.CONCLUSION:
This study illustrates enhanced effects of co-administered dexamethasone and diclofenac K on short-term post-operative pain and swelling, compared to diclofenac potassium alone in third molar surgery."
2,1618957,"TITLE.
Efficacy of lanreotide Autogel® administered every 4–8 weeks in patients with acromegaly previously responsive to lanreotide microparticles 30 mg: a phase III trial

ABSTRACT.OBJECTIVE AND DESIGN.
Depot somatostatin analogues are well accepted as either adjuvant or primary therapy for acromegaly, and their long dosage intervals facilitate adherence to treatment. Our objective was to evaluate whether lanreotide Autogel® 120 mg, every 4–8 weeks, was as effective in controlling acromegaly as lanreotide microparticles 30 mg, every 1–2 weeks.

ABSTRACT.PATIENTS DESIGN AND MEASUREMENTS.
Patients who had used lanreotide microparticles 30 mg, ≥ 2 months prestudy, and had responded to treatment were recruited to this open, prospective, multicentre phase III trial. Three to five injections of lanreotide Autogel® 120 mg were administered. Lanreotide Autogel® 120 mg was injected every 4, 6 or 8 weeks in patients previously receiving lanreotide microparticles every 7, 10 or 14 days, respectively. GH and insulin-like growth factor (IGF)-1 levels were assessed one dosing interval after the final injections.

ABSTRACT.RESULTS.
Ninety-eight patients were enrolled and 93 completed. Steady-state GH concentrations demonstrated similar efficacy between the formulations (upper 95% confidence interval of the quotient, 77·7%). Mean (SE) GH levels were lower with lanreotide Autogel® than with lanreotide microparticles (3·8 (0·5) vs 4·3 (0·5) ng/ml; P < 0·001). GH levels < 2·5 ng/ml were observed in 54% and 46% of patients; 40% and 35% having GH < 2·5 ng/ml and normalized IGF-1 with lanreotide Autogel® and microparticles, respectively. Symptoms were controlled better with lanreotide Autogel® and treatment was well accepted.

ABSTRACT.CONCLUSIONS.
Lanreotide Autogel® 120 mg every 4–8 weeks, is at least as effective and as well tolerated in acromegaly as lanreotide microparticles 30 mg injected every 7–14 days."
3,165418,"TITLE.
Quality of life and metabolic status in mildly depressed women with type 2 diabetes treated with paroxetine: A single-blind randomised placebo controlled trial

ABSTRACT.BACKGROUND.
Depression is prevalent in people with type 2 diabetes and affects both glycemic control and overall quality of life. The aim of this trial was to evaluate the effect of the antidepressant paroxetine on metabolic control, quality of life and mental well-being in mildly depressed women with type 2 diabetes.

ABSTRACT.METHODS.
We randomised 15 mildly depressed women with non-optimally controlled type 2 diabetes to a 10-week single-blind treatment with either paroxetine 20 mg per day or placebo. Primary efficacy measurements were glycemic control and quality of life. Glycosylated hemoglobin A1c (GHbA1c) was used as a measure of glycemic control. Quality of life was evaluated using RAND-36. Mental state was assessed using two clinician-rated scoring instruments, Hamilton's Anxiety Scale (HAM-A) and Montgomery-Åsberg's Depression Rating Scale (MADRS), and a patient-rated scoring instrument, Beck's Depression Inventory (BDI).

ABSTRACT.RESULTS.
At the end of the study no significant difference between groups in improvement of quality of life was found. A trend towards a superior improvement in glycemic control was found in the paroxetine group (p = 0.08). A superior increase in sex-hormone-binding-globuline (SHBG) levels was evidenced in the paroxetine group (p = 0.01) as a sign of improved insulin sensitivity. There was also a trend for superior efficacy of paroxetine in investigator-rated anxiety and depression. This notion was supported by a trend for superior decrease of serum cortisol levels in the paroxetine group (p = 0.06).

ABSTRACT.CONCLUSION.
Paroxetine has a beneficial effect on measures of insulin sensitivity and may improve glycemic control. Larger studies of longer duration are needed to verify the benefits of paroxetine in type 2 diabetes. While waiting for more conclusive evidence it seems sensible to augment standard care of type 2 diabetes with paroxetine even in patients who do not fulfil routine psychiatric criteria for initiation of antidepressant drug treatment."
4,1774569,"TITLE.
Buprenorphine versus dihydrocodeine for opiate detoxification in primary care: a randomised controlled trial

ABSTRACT.BACKGROUND.
Many drug users present to primary care requesting detoxification from illicit opiates. There are a number of detoxification agents but no recommended drug of choice. The purpose of this study is to compare buprenorphine with dihydrocodeine for detoxification from illicit opiates in primary care.

ABSTRACT.METHODS.
Open label randomised controlled trial in NHS Primary Care (General Practices), Leeds, UK. Sixty consenting adults using illicit opiates received either daily sublingual buprenorphine or daily oral dihydrocodeine. Reducing regimens for both interventions were at the discretion of prescribing doctor within a standard regimen of not more than 15 days. Primary outcome was abstinence from illicit opiates at final prescription as indicated by a urine sample. Secondary outcomes during detoxification period and at three and six months post detoxification were recorded.

ABSTRACT.RESULTS.
Only 23% completed the prescribed course of detoxification medication and gave a urine sample on collection of their final prescription. Risk of non-completion of detoxification was reduced if allocated buprenorphine (68% vs 88%, RR 0.58 CI 0.35–0.96, p = 0.065). A higher proportion of people allocated to buprenorphine provided a clean urine sample compared with those who received dihydrocodeine (21% vs 3%, RR 2.06 CI 1.33–3.21, p = 0.028). People allocated to buprenorphine had fewer visits to professional carers during detoxification and more were abstinent at three months (10 vs 4, RR 1.55 CI 0.96–2.52) and six months post detoxification (7 vs 3, RR 1.45 CI 0.84–2.49).

ABSTRACT.CONCLUSION.
Informative randomised trials evaluating routine care within the primary care setting are possible amongst drug using populations. This small study generates unique data on commonly used treatment regimens."
5,1868720,"TITLE.
Advantages and disadvantages of an objective selection process for early intervention in employees at risk for sickness absence

ABSTRACT.BACKGROUND.
It is unclear if objective selection of employees, for an intervention to prevent sickness absence, is more effective than subjective 'personal enlistment'. We hypothesize that objectively selected employees are 'at risk' for sickness absence and eligible to participate in the intervention program.

ABSTRACT.METHODS.
The dispatch of 8603 screening instruments forms the starting point of the objective selection process. Different stages of this process, throughout which employees either dropped out or were excluded, were described and compared with the subjective selection process. Characteristics of ineligible and ultimately selected employees, for a randomized trial, were described and quantified using sickness absence data.

ABSTRACT.RESULTS.
Overall response rate on the screening instrument was 42.0%. Response bias was found for the parameters sex and age, but not for sickness absence. Sickness absence was higher in the 'at risk' (N = 212) group (42%) compared to the 'not at risk' (N = 2503) group (25%) (OR 2.17 CI 1.63–2.89; p = 0.000). The selection process ended with the successful inclusion of 151 eligible, i.e. 2% of the approached employees in the trial.

ABSTRACT.CONCLUSION.
The study shows that objective selection of employees for early intervention is effective. Despite methodological and practical problems, selected employees are actually those at risk for sickness absence, who will probably benefit more from the intervention program than others."
6,1915612,"TITLE: 
Neck pain in chronic whiplash syndrome treated with botulinum toxin. A double-blind, placebo-controlled clinical trial

ABSTRACT.OBJECTIVES:
Neck pain in chronic whiplash syndrome is a major burden for patients, healthcare providers and insurance companies. Randomized data on treatment of botulinum toxin in chronic whiplash syndrome are scarce. We conducted a randomized, placebo-controlled clinical trial to prove efficacy of botulinum toxin for neck pain in chronic whiplash syndrome.

ABSTRACT.METHODS:
40 patients with chronic whiplash syndrome (whiplash associated disorders grade 1 and 2) were randomly assigned to receive botulinum toxin (maximum 100 units) or placebo (saline) in muscles with increased tenderness.

ABSTRACT.RESULTS:
After 12 weeks there was no significant difference between the two treatment groups in decrease of neck pain intensity on VAS (−7.0 mm, 95% confidence interval (CI) [−20.7 to +6.7]), mean number of neck pain days (−1%; 95% CI [−15% to +13%]), neck pain hours per day (−0.14; 95% CI [−3.0 to +2.7]), days on which symptomatic treatment was taken (−0.7%; 95% CI [−15% to +13%]) number of analgesics taken per day (−0.14; 95% CI [−0.6 to +0.4]) and total cervical range of motion (−11 degrees; 95% CI [−40 to +17]). There also was no significant difference in patient’s assessment of improvement after week 4, 8 and 12.

ABSTRACT.CONCLUSIONS:
Botulinum toxin was not proven effective in treatment of neck pain in chronic whiplash syndrome. Increased muscle tenderness alone might not be the major cause of neck pain in whiplash syndrome."
7,2253708,"TITLE.
Proactive interventions for smoking cessation in general medical practice: a quasi-randomized controlled trial to examine the efficacy of computer-tailored letters and physician-delivered brief advice

ABSTRACT.AIMS.
To test the efficacy of (i) computer-generated tailored letters and (ii) practitioner-delivered brief advice for smoking cessation against an assessment-only condition; and to compare both interventions directly.

ABSTRACT.DESIGN.
Quasi-randomized controlled trial.

ABSTRACT.SETTING.
A total of 34 randomly selected general practices from a German region (participation rate 87%).

ABSTRACT.PARTICIPANTS.
A total of 1499 consecutive patients aged 18–70 years with daily cigarette smoking (participation rate 80%).

ABSTRACT.INTERVENTIONS.
The tailored letters intervention group received up to three individualized personal letters. Brief advice was delivered during routine consultation by the practitioner after an onsite training session. Both interventions were based on the Transtheoretical Model of behaviour change.

ABSTRACT.MEASUREMENTS.
Self-reported point prevalence and prolonged abstinence at 6-, 12-, 18- and 24-month follow-ups.

ABSTRACT.FINDINGS.
Among participants completing the last follow-up, 6-month prolonged abstinence was 18.3% in the tailored letters intervention group, 14.8% in the brief advice intervention group and 10.5% in the assessment-only control group. Assuming those lost to follow-up to be smokers, the rates were 10.2%, 9.7% and 6.7%, respectively. Analyses including all follow-ups confirmed statistically significant effects of both interventions compared to assessment only. Using complete case analysis, the tailored letters intervention was significantly more effective than brief advice for 24-hour [odds ratio (OR) = 1.4; P = 0.047] but not for 7-day point prevalence abstinence (OR = 1.4; P = 0.068) for prolonged abstinence, or for alternative assumptions about participants lost to follow-up.

ABSTRACT.CONCLUSIONS.
The study demonstrated long-term efficacy of low-cost interventions for smoking cessation in general practice. The interventions are suitable to reach entire populations of general practices and smoking patients. Computer-generated letters are a promising option to overcome barriers to provide smoking cessation counselling routinely."
8,2427034,"TITLE.
Prevalence of A2143G mutation of 

ABSTRACT.BACKGROUND.
A2143G mutation of 23S rRNA gene of H. pylori results in clarithromycin (CLR) resistance. To investigate the prevalence of the CLR resistance-related A2143G mutation of the H. pylori-specific 23S rRNA gene in Chinese subjects with and without CLR use history, 307 subjects received the treatment with amoxicillin and omeprazole (OA) and 310 subjects received a placebo in 1995, and 153 subjects received a triple therapy with OA and CLR (OAC) in 2000. DNA was extracted from fasting gastric juice at the end of the intervention trial in 2003. H. pylori infection was determined by H. pylori-specific 23S rRNA PCR, ELISA, and13C-urea breath test assays. Mutations of the 23S rRNA gene were detected by RFLP assays.

ABSTRACT.RESULTS.
The presence of 23S rRNA due to H. pylori infection in the OA group remained lower than that in the placebo group 7.3 yrs after OA-therapy [51.1% (157/307) vs. 83.9% (260/310), p = 0.0000]. In the OAC group, the 23S rRNA detection rate was 26.8% (41/153) three yrs after OAC-treatment. The A2143G mutation rate among the 23S rRNA-positive subjects in the OAC group [31.7% (13/41)] was significantly higher than that in the OA group [10.2% (16/157)] and the placebo group [13.8% (36/260)]. The frequency of the AAGGG → CTTCA (2222–2226) and AACC → GAAG (2081–2084) sequence alterations in the OAC group was also significantly higher than those in the OA group and the placebo group.

ABSTRACT.CONCLUSION.
Primary prevalence of the A2143G mutation was 10~14% among Chinese population without history of CLR therapy. Administration of CLR to eliminate H. pylori infection increased the prevalence of the A2143G mutation in Chinese subjects (32%) significantly."
9,2430614,"TITLE.
An Open Label, Randomised Trial of Artesunate+Amodiaquine, Artesunate+Chlorproguanil-Dapsone and Artemether-Lumefantrine for the Treatment of Uncomplicated Malaria

ABSTRACT.BACKGROUND.
Artesunate+amodiaquine (AS+AQ) and artemether-lumefantrine (AL) are now the most frequently recommended first line treatments for uncomplicated malaria in Africa. Artesunate+chlorproguanil-dapsone (AS+CD) was a potential alternative for treatment of uncomplicated malaria. A comparison of the efficacy and safety of these three drug combinations was necessary to make evidence based drug treatment policies.

ABSTRACT.METHODS.
Five hundred and thirty-four, glucose-6-phosphate dehydrogenase (G6PD) normal children were randomised in blocks of 15 to the AS+AQ, AL or AS+CD groups. Administration of study drugs was supervised by project staff and the children were followed up at r home on days 1,2,3,7,14 and 28 post treatment. Parasitological and clinical failures and adverse events were compared between the study groups.

ABSTRACT.MAIN FINDINGS.
In a per-protocol analysis, the parasitological and clinical failure rate at day 28 post treatment (PCF28) was lower in the AS+AQ group compared to the AL or AS+CD groups (corrected for re-infections: 6.6% vs 13.8% and 13.8% respectively, p = 0.08; uncorrected: 14.6% vs 27.6% and 28.1% respectively, p = 0.005). In the intention to treat analysis, the rate of early treatment failure was high in all three groups (AS+AQ 13.3%; AL 15.2%; and AS+CD 9.3%, p = 0.2) primarily due to vomiting. However, the PCF28 corrected for re-infection was lower, though not significantly, in the AS+AQ group compared to the AL or the AS+CD groups (AS+AQ 18.3%; AL 24.2%; AS+CD 20.8%, p = 0.4) The incidence of adverse events was comparable between the groups.

ABSTRACT.CONCLUSIONS.
AS+AQ is an appropriate first line treatment for uncomplicated malaria in Ghana and possibly in the neighbouring countries in West Africa. The effectiveness of AL in routine programme conditions needs to be studied further in West Africa.

ABSTRACT.TRIAL REGISTRATION.
ClinicalTrials.gov NCT00119145"
10,2500257,"TITLE.
Impact upon clinical outcomes of translation of PNA FISH-generated laboratory data from the clinical microbiology bench to bedside in real time

ABSTRACT.
Fluorescence in situ hybridization using peptide nucleic acid probes (PNA-FISH) differentiates Staphylococcus aureus from other Gram-positive-cocci in clusters (GPCC). 101/202 patients with GPCC+ blood cultures were randomly assigned to clinician-notification of PNA FISH results. Notification was associated with reduced mortality (8% vs.17%, p = 0.05), further antibiotic use (median −2.5 days, p = 0.01), and trended toward reduced hospital stay and charges."
11,2556743,"TITLE: 
Goal-directed fluid management based on pulse pressure variation monitoring during high-risk surgery: a pilot randomized controlled trial

ABSTRACT.INTRODUCTION:
Several studies have shown that maximizing stroke volume (or increasing it until a plateau is reached) by volume loading during high-risk surgery may improve post-operative outcome. This goal could be achieved simply by minimizing the variation in arterial pulse pressure (ΔPP) induced by mechanical ventilation. We tested this hypothesis in a prospective, randomized, single-centre study. The primary endpoint was the length of postoperative stay in hospital.

ABSTRACT.METHODS:
Thirty-three patients undergoing high-risk surgery were randomized either to a control group (group C, n = 16) or to an intervention group (group I, n = 17). In group I, ΔPP was continuously monitored during surgery by a multiparameter bedside monitor and minimized to 10% or less by volume loading.

ABSTRACT.RESULTS:
Both groups were comparable in terms of demographic data, American Society of Anesthesiology score, type, and duration of surgery. During surgery, group I received more fluid than group C (4,618 ± 1,557 versus 1,694 ± 705 ml (mean ± SD), P < 0.0001), and ΔPP decreased from 22 ± 75 to 9 ± 1% (P < 0.05) in group I. The median duration of postoperative stay in hospital (7 versus 17 days, P < 0.01) was lower in group I than in group C. The number of postoperative complications per patient (1.4 ± 2.1 versus 3.9 ± 2.8, P < 0.05), as well as the median duration of mechanical ventilation (1 versus 5 days, P < 0.05) and stay in the intensive care unit (3 versus 9 days, P < 0.01) was also lower in group I.

ABSTRACT.CONCLUSION:
Monitoring and minimizing ΔPP by volume loading during high-risk surgery improves postoperative outcome and decreases the length of stay in hospital.

ABSTRACT.TRIAL REGISTRATION:
NCT00479011"
12,2639329,"TITLE.
Optimized post-operative surveillance of permanent pacemakers by home monitoring: the OEDIPE trial

ABSTRACT.AIMS.
The ŒDIPE trial examined the safety and efficacy of an abbreviated hospitalization after implantation or replacement of dual-chamber pacemakers (PM) using a telecardiology-based ambulatory surveillance programme.

ABSTRACT.METHODS AND RESULTS.
Patients were randomly assigned to (i) an active group, discharged from the hospital 24 h after a first PM implant or 4–6 h after replacement, and followed for 4 weeks with Home-Monitoring (HM), or (ii) a control group followed for 4 weeks according to usual medical practices. The primary objective was to confirm that the proportion of patients who experienced one or more major adverse events (MAE) was not higher in the active than in the control group. The study included 379 patients. At least one treatment-related MAE was observed in 9.2% of patients (n = 17) assigned to the active group vs. 13.3% of patients (n = 26) in the control group (P = 0.21), a 4.1% absolute risk reduction (95% CI −2.2 to 10.4; P = 0.98). By study design, the mean hospitalization duration was 34% shorter in the active than in the control group (P < 0.001), and HM facilitated the early detection of technical issues and detectable clinical anomalies.

ABSTRACT.CONCLUSION.
Early discharge with HM after PM implantation or replacement was safe and facilitated the monitoring of patients in the month following the procedure."
13,2652457,"TITLE.
Effectiveness of a computer assisted learning (CAL) package to raise awareness of autism

ABSTRACT.BACKGROUND.
Promoting awareness of autism in populations who work with children may result in an earlier diagnosis of the condition. In this study, a computer assisted learning (CAL) package, containing educationally appropriate knowledge about autism was developed; and the effectiveness of this CAL package was evaluated.

ABSTRACT.METHODS.
The CAL package was developed using computer software, ""Xerte"" and ""Flash Macromedia"". The effectiveness of the CAL package was evaluated in 32 childcare students in the UK, who were randomised to watch the CAL package or to read the information leaflet containing the same information (n = 16 in each group). Retention performance, level of enjoyment, and level of confidence to identify a child with autism, after the interventions, were evaluated. The data obtained from two studied groups was analysed using unpaired Student's t-test, 95% confidence interval, and effect size.

ABSTRACT.RESULTS.
Students who watched the CAL package had superior retention performance percentage scores (p = 0.02, 95% CI = 0.83–12.19, effect size = 0.8) and level of enjoyment (p = 0.04, 95% CI = 0.03–2.75, effect size = 0.7) compared with students who read the information leaflet. However, there was no significant difference in level of confidence to identify a child with autism (p = 0.39, 95% CI = -1.80–0.72, effect size = -0.3).

ABSTRACT.CONCLUSION.
The CAL package developed was an effective method of educating people who work with children about autism."
