,edit_id,doc_id,model,source,target,question,answer,primary_section,faq,secondary,note
0,78b9936f0bfa08299bbd9200eb4a4789,2967098,karim,"The apparent rationale for the popular use of high doses of neuroleptics in psychotic patients is to increase the degree and speed of therapeutic response .However, several recent reports have questioned these claims. The present study was undertaken with the aim to compare the efficacy of high and low oral doses of haloperidol in the treatment of acute and transient psychotic disorders. The sample comprised of forty patients of both sexes diagnosed as acute and transient psychotic disorder who were randomly assigned to high dose (20 mg/day) and low dose (5 mg /day) haloperidol groups with equal number of subjects (n=20) in both groups. Weekly assessment was done on Brief Psychiatric Rating Scale and Haloperidol Side-effects Check List (day 7, 14, 21, 28, 35 & 42). Both groups showed significant improvement in BPRS from baseline scores on all assessments. Comparison of the improvement rate in both study groups revealed no significant difference.","This study is about testing whether high or low doses of a drug called haloperidol are more effective at treating short-lasting mental illnesses. The researchers started out thinking that high doses might work better and faster, but some recent studies have disagreed with this idea. They decided to test it out themselves.

40 patients - both male and female - who were experiencing a brief bout of mental illness were chosen for this study. These patients were randomly split into two groups, with one group receiving a high dose (20 mg/day) and the other receiving a low dose (5 mg/day) of haloperidol. Over a six-week period, the groups were checked weekly for any improvement in their symptoms and side effects from the drug.

In the end, both groups showed significant recovery from their initial symptoms at every check-up. When they compared the two groups, the researchers found no notable difference in how much the patients improved. So, it didn't really matter whether they were given a high or low dose - they ended up getting better around the same amount.",What was used to check patient's symptoms and side effects?,"Brief Psychiatric Rating Scale, which is rating scale which a clinician or researcher may use to measure psychiatric symptoms, and Haloperidol Side-effects Check List.",n/a (Unsectioned),5.2 - Outcome (Tool),,
1,e1fc9788191ed46e4b120ac084a97ebd,4609664,karim,"INTRODUCTION.
The aim of this study was to compare the formation of dentinal crack and craze lines in the root dentin during root canal preparation with three different NiTi endodontic systems, naming Reciproc (RCP), ProTaper Universal (PTU) and Mtwo.

METHODS AND MATERIALS.
One hundred extracted mandibular premolars with single canals were selected and decoronated. The teeth were randomly divided into four groups of 25 each (n=25). In groups 1, 2 and 3 the teeth were prepared using Mtwo, PTU and RCP, respectively. While in group 4 (control group) the samples were left unprepared. After preparation, all specimens were sectioned perpendicular to the long axis of root at 3, 5 and 9-mm distances from the apex. The sections were then individually observed under 12× magnification using stereomicroscope. The data was analyzed using the chi-square and Fisher's exact tests. The level of significance was set at 0.05.

RESULTS.
No cracks were observed in the control group. All engine-driven systems caused dentinal cracks. Mtwo and PTU caused cracks significantly more than RCP (P≺0.05). There was no significant difference between RCP and control group (P≻0.05).

CONCLUSION.
All three engine-driven systems created dentinal defects. Reciproc caused less cracks than Mtwo and ProTaper Universal.","INTRODUCTION.
This study looked at possible damage to teeth (called ""dentinal cracks and craze lines"") during root canal treatments using three different dental tools.

METHODS AND MATERIALS.
A hundred human premolars (kind of teeth) with single canals were used. They were grouped into four sets of 25 each. Teeth in the first three groups were treated with one of the three dental tools each. The last group's teeth were left untreated as a control. After these treatments, parts of the teeth were cut and examined under a microscope. The gathered data was then statistically analysed.

RESULTS.
The control group of untreated teeth showed no cracks. All the treatment methods caused some cracks. Two of the tools, Mtwo and ProTaper Universal, caused significantly more cracks than the third tool, Reciproc which didn't cause significantly more cracks than the untreated group. 

CONCLUSION.
All three treatment methods caused some dental damage. But the tool Reciproc caused the least, being nearly equivalent to no treatment at all.",What was used to statistically analyze the data?,"Chi-square, which is a test that is used to measure how expectations compare to actual observed data or model results and Fisher's exact tests, which is a statistical test used to determine if there are nonrandom associations between two categorical variables.",Methods,5.3 - Analysis Technique,,
2,db7a456fd3473f5983d1ebfa8e154cce,5966460,karim,"Topical microbicides are being explored as an HIV prevention method for individuals who practice receptive anal intercourse. In vivo studies of these microbicides are critical to confirm safety. Here, we evaluated the impact of a rectal microbicide containing the antiviral lectin, Griffithsin (GRFT), on the rectal mucosal proteome and microbiome. Using a randomized, crossover placebo-controlled design, six rhesus macaques received applications of hydroxyethylcellulose (HEC)- or carbopol-formulated 0.1% GRFT gels. Rectal mucosal samples were then evaluated by label-free tandem MS/MS and 16 S rRNA gene amplicon sequencing, for proteomics and microbiome analyses, respectively. Compared to placebo, GRFT gels were not associated with any significant changes to protein levels at any time point (FDR ≺ 5%), but increased abundances of two common and beneficial microbial taxa after 24 hours were observed in HEC-GRFT gel (p ≺ 2E-09). Compared to baseline, both placebo formulations were associated with alterations to proteins involved in proteolysis, activation of the immune response and inflammation after 2 hours (p ≺ 0.0001), and increases in beneficial Faecalibacterium spp. after 24 hours in HEC placebo gel (p = 4.21E-15). This study supports the safety profile of 0.1% GRFT gel as an anti-HIV microbicide and demonstrates that current placebo formulations may associate with changes to rectal proteome and microbiota.","Researchers are testing a special gel, known as a microbicide, to prevent HIV during anal intercourse. It's vital to ensure this gel is safe before it can be used by people. The gel in question contains a substance called Griffithsin (GRFT), which helps fight against viruses. 

In our study, we tested the gel on six macaque monkeys. We applied two different versions of the gel and compared these to a dummy gel (placebo). We studied samples from the monkeys to see what effects the gel had on proteins and microbes (tiny organisms that live in our bodies). 

We found that the Griffithsin gel didn't significantly change protein levels at any point. However, it did increase the levels of two helpful types of microbes after 24 hours. On the other hand, the dummy gels caused changes in proteins linked to immunity and inflammation after 2 hours, and also increased beneficial microbes after 24 hours. 

In plain terms, our study shows that the Griffithsin gel doesn't harm the rectum's proteins or microbes, implying it's safe to use. However, it's important to note that even the dummy gels can cause changes to the rectum's proteins and microbes. This means we must be careful when interpreting the results of such tests.",How were the samples evaluated?,"They were evaluated by 16 S rRNA gene amplicon sequencing, a technique based on the amplification of small fragments of one or two regions of the gene, as well as label-free tandem MS/MS (a method for identifying and quantifying relative changes in two or more biological samples).",n/a (Unsectioned),5.2 - Outcome (Tool),,
3,3bb47a44627608c90f78eba1390e4435,3269796,karim,"The purpose of this study was to compare a novel bone marrow device with the standard marrow needle in a prospective, randomized study in a teaching hospital employing hematologists-in-training. The new device, the OnControl Bone Marrow (OBM) Biopsy System, utilizes a battery-powered drill to insert the needle. Fifty-four bone marrows (27 standard and 27 OBM) were performed by 11 fellows under the observation and supervision of 3 attending hematologists and 1 research technologist. The primary endpoint of the study, the mean length of the marrow biopsy specimens, a surrogate for marrow quality, was determined by a pathologist in a blinded manner. The mean length of the marrow biopsy specimens was significantly longer (56%) for the OBM group (15.3 mm) than for the standard bone marrow (SBM) group (9.8 mm), P≺0.003. An objectively determined secondary endpoint; mean procedure time, skin-to-skin; also favored the OBM group (175 s) versus the SBM group (292 s), P≺0.007. Several subjective secondary endpoints also favored the OBM group. Only minor adverse events were encountered in the OBM and SBM study groups. It was concluded that bone marrow procedures (BMPs) performed by hematologists-in-training were significantly faster and superior in quality when performed with the OBM compared to the SBM. These data suggest that the OBM may be considered a new standard of care for adult hematology patients. OBM also appears to be a superior method for training hematology fellows.","The goal of this research was to compare a newly developed bone marrow device with the regular bone marrow needle. The study took place in a teaching hospital, with medical trainees overseen by experienced doctors and a research technician. The new device, called the OnControl Bone Marrow (OBM) Biopsy System, is powered by a battery-operated drill to insert its needle.

The research carried out 54 bone marrow tests, half done with the standard needle and half done with the new OnControl device. The main goal measured was the average length of the bone marrow samples taken out, as longer samples usually mean better quality. The ones taken out by the OnControl device were, on average, over half as long again as the ones taken out with the regular needle.

The researchers also timed the procedures and found that the OnControl device completed its tests significantly faster than the regular needle did. Other measures also favored the OnControl device. There were only a few minor problems in both groups of tests.

Therefore, the researchers concluded that bone marrow tests carried out by doctors-in-training are faster and provide better results when the OnControl device is used compared to the regular needle. Consequently, this device could be favored as a new norm for adult patients needing hematology, and it is a better tool for teaching medical trainees in hematology.",Who did the tests for the research?,"The tests were performed by 11 of the trainees under observation or 3 hematologists and 1 research technologist (someone who focuses on developing, designing and conducting research projects).",n/a (Unsectioned),5 - Method,,
4,9d6f8ee982efbacefcc00d40bd29e562,3214395,karim,"BACKGROUND.
Induction of anesthesia is the most crucial period of general anesthesia. Inhalational induction is the most commonly used technique in pediatric anesthesia. Tracheal intubation can be done after reaching the deep levels of anesthesia. The depth of anesthesia is often difficult to be judged. Bispectral index is a measure of the effects of anesthesia on brain. This study was designed to evaluate the efficacy of bispectral index (BIS) in clarifying suitable depth of anesthesia for tracheal intubation during inhalational induction of anesthesia.

METHODS.
In a clinical trial, ninety patients, ASA I & II, 1 to 6 years old, scheduled for elective surgery were enrolled into the study. After starting BIS monitoring, patients randomly were divided into three groups. Then, anesthesia was induced by gradual increase of halothane in 50% mixture of oxygen (O2) and N2O and continued until target BIS (60 ± 2, 50 ± 2 and 40 ± 2) achieved. After tracheal intubation, the duration of laryngoscopy and the presence of laryngospasm, bronchospasm, laryngoscopy failure, the movement of extremities and the changes in SpO2 and BIS were recorded. The data were analyzed by chi-square and ANOVA at 0.05 level of significance.

RESULTS.
BIS could not determine the appropriate level of anesthesia for tracheal intubation in this setting. There were no differences in laryngoscopy duration and the occurrence of laryngospasm, bronchospasm, laryngoscopy failure, extremity movement and awakening time among three groups.

CONCLUSIONS.
These results confirmed that there was no significant difference in the incidence of complications related to intubation at different BIS values (from 60 to 40) during inhalation induction, and probably to achieve an adequate or more reliable depth of anesthesia, the lower values of BIS is required.","BACKGROUND.
Getting the right level of anesthesia for a surgery is very important. For children, the most common method is to have them breathe in the anesthetic. A tube may need to be put down the throat once the child is deeply asleep. It can be hard to tell exactly how deep the sleep is. One way to measure this is using something called a Bispectral index (BIS). In this study, we wanted to see how well the BIS can tell us when a child is asleep enough for the tube to be safely put in.
METHODS.
We did a test with ninety children who were aged 1 to 6 years and were about to have surgery. We started to monitor their BIS and separated them randomly into three groups. The anesthesia was started by gradually increasing the amount of anesthetic in a mix of oxygen and nitrous oxide. We kept increasing until the BIS reached certain target levels. After the tube was put in, we noted how long the process took, whether there were any complications like trouble breathing, if the child moved, and how long they stayed asleep. RESULTS.
The BIS didn't help us to know the best level of anesthesia for putting the tube in. There was no difference in how long it took, whether there were any problems, or how long the children stayed asleep between the three groups. CONCLUSIONS.
Our results showed that there wasn't a significant difference in problems related to putting in the tube at different BIS levels. To make sure the level of anesthesia is deep enough, we might need to aim for lower BIS values.",What was the mixture ratio or oxygen and nitrous oxide?,50%,Methods,5.4 - Quantity,,
5,45784042f525a2064367297387d398f6,1915612,karim,"OBJECTIVES.
Neck pain in chronic whiplash syndrome is a major burden for patients, healthcare providers and insurance companies. Randomized data on treatment of botulinum toxin in chronic whiplash syndrome are scarce. We conducted a randomized, placebo-controlled clinical trial to prove efficacy of botulinum toxin for neck pain in chronic whiplash syndrome.

METHODS.
40 patients with chronic whiplash syndrome (whiplash associated disorders grade 1 and 2) were randomly assigned to receive botulinum toxin (maximum 100 units) or placebo (saline) in muscles with increased tenderness.

RESULTS.
After 12 weeks there was no significant difference between the two treatment groups in decrease of neck pain intensity on VAS (−7.0 mm, 95% confidence interval (CI) [−20.7 to +6.7]), mean number of neck pain days (−1%; 95% CI [−15% to +13%]), neck pain hours per day (−0.14; 95% CI [−3.0 to +2.7]), days on which symptomatic treatment was taken (−0.7%; 95% CI [−15% to +13%]) number of analgesics taken per day (−0.14; 95% CI [−0.6 to +0.4]) and total cervical range of motion (−11 degrees; 95% CI [−40 to +17]). There also was no significant difference in patient’s assessment of improvement after week 4, 8 and 12.

CONCLUSIONS.
Botulinum toxin was not proven effective in treatment of neck pain in chronic whiplash syndrome. Increased muscle tenderness alone might not be the major cause of neck pain in whiplash syndrome.","OBJECTIVES
Many people who have long-term neck pain after a whiplash injury find it hard to manage, as do the healthcare professionals and insurance companies involved in their care. One possible treatment for this pain is a drug called botulinum toxin, but good quality research is lacking on its effectiveness. So, we ran a scientifically robust study to find out if botulinum toxin really does help reduce neck pain in these patients.

METHODS
We had 40 patients who all had long-term whiplash injury. They were randomly put into two groups. One group had injections of botulinum toxin and the other group had injections of a harmless saltwater solution (the placebo) into their painful neck muscles.

RESULTS
We checked on the patients after 12 weeks and found no big differences between the two groups. We looked at how intense their neck pain was, how many days they had neck pain, how many hours a day they had neck pain, how many days they needed treatment to relieve their symptoms, how many painkillers they took each day, and how much they could move their necks. There was also no big difference in how much the patients felt they had improved over the 4, 8 and 12 weeks of the study.

CONCLUSIONS
Based on our results, we couldn't say that botulinum toxin is effective in treating neck pain in people with long-term whiplash. It seems that having tender muscles might not be the main cause of this kind of neck pain.",How many injections of botulinum toxin did patients in the study have?,No more than 100 units.,Methods,5.4 - Quantity,,
6,f06d5828ecc2841ad97a6e73dad949b2,3798949,karim,"BACKGROUND.
The conduct of clinical trials should be an integral part of routine patient care. Treating patients in trials incurs additional costs over and above standard of care (SOC), but the extent of the cost burden is not known. We undertook a retrospective cost attribution analysis to quantitate the treatment costs associated with cancer clinical trial protocols conducted over a 2 year period.

METHODS.
All patients entered into oncology (non-haematology) clinical trials involving investigational medicinal products in 2009 and 2010 in a single UK institution were identified. The trial protocols on which they were treated were analysed to identify the treatment costs for the experimental arm(s) of the trial and the equivalent SOC had the patient not been entered in the trial. The treatment cost difference was calculated by subtracting the experimental treatment cost from SOC cost. For randomised trials, an average treatment cost was estimated by taking into account the number of arms and randomisation ratio. An estimate of the annual treatment costs was calculated.

RESULTS.
A total of 357 adult oncology patients were treated on 53 different trial protocols: 40 phase III, 2 randomised II/III and 11 phase II design. A total of 27 trials were academic, non-commercial sponsored trials and 26 were commercial sponsored trials. When compared with SOC, the average treatment cost per patient was an excess of £431 for a non-commercial trial (range £6393 excess to £6005 saving) and a saving of £9294 for a commercial trial (range £0 to £71 480). There was an overall treatment cost saving of £388 719 in 2009 and £496 556 in 2010, largely attributable to pharmaceutical company provision of free drug supplies.

CONCLUSION.
On an average, non-commercial trial protocols were associated with a small per patient excess treatment cost, whereas commercial trials were associated with a substantially higher cost saving. Taking into account the total number of patients recruited annually, treatment of patients on clinical trial protocols was associated with considerable cost savings across both the non-commercial and commercial portfolio.","BACKGROUND
Clinical trials are part of regular medical care. These trials, though, can cost more than standard treatments. We looked at cancer clinical trials over two years to figure out how much extra they cost.

METHODS
We found and studied all patients who took part in drug-based cancer clinical trials in 2009 and 2010 at one hospital in the UK. We compared the cost of the treatments in the trials and the usual treatments the patients could have received. We figured out the difference in cost between these two. For studies that compared treatments, we estimated the average treatment cost. We also estimated the yearly costs.

RESULTS
During those two years, 357 adult cancer patients took part in 53 different research studies. Some of these were designed by universities and other non-profit groups, while others were sponsored by drug companies. On average, the university trials cost an extra £431 per patient. The drug company trials, on the other hand, saved an average of £9294 per patient. This is largely because these companies supplied the drugs for free. In total, these trials saved about £885,275 over the two years.

CONCLUSION
In general, trials designed by universities cost a little more per patient. Drug company trials, though, saved much more money. Given the large number of patients that take part in these trials every year, they can lead to big savings, regardless of who runs them.",How many research studies were done by universities/other non-profits vs drug companies?,Non-commercial sponsored trials had a total of 27 and company sponsored trials had 26.,Results,5.5 - Population,,
7,25e7ee0b54ff570d39807da28e7bd211,5043523,karim,"BACKGROUND.
It is hypothesised that individuals with knowledge of their genetic risk are more likely to make health-promoting dietary and lifestyle changes. The present study aims to test this hypothesis using data from the Food4Me study. This was a 6-month Internet-based randomised controlled trial conducted across seven centres in Europe where individuals received either general healthy eating advice or varying levels of personalised nutrition advice. Participants who received genotype-based personalised advice were informed whether they had the risk (CT/TT) (n = 178) or non-risk (CC) (n = 141) alleles of the methylenetetrahydrofolate reductase (MTHFR) gene in relation to cardiovascular health and the importance of a sufficient intake of folate. General linear model analysis was used to assess changes in folate intake between the MTHFR risk, MTHFR non-risk and control groups from baseline to month 6 of the intervention.

RESULTS.
There were no differences between the groups for age, gender or BMI. However, there was a significant difference in country distribution between the groups (p = 0.010). Baseline folate intakes were 412 ± 172, 391 ± 190 and 410 ± 186 μg per 10 MJ for the risk, non-risk and control groups, respectively. There were no significant differences between the three groups in terms of changes in folate intakes from baseline to month 6. Similarly, there were no changes in reported intake of food groups high in folate.

CONCLUSIONS.
These results suggest that knowledge of MTHFR 677C → T genotype did not improve folate intake in participants with the risk variant compared with those with the non-risk variant.

TRIAL REGISTRATION.
ClinicalTrials.gov NCT01530139

ELECTRONIC SUPPLEMENTARY MATERIAL.
The online version of this article (doi:10.1186/s12263-016-0539-x) contains supplementary material, which is available to authorized users.","BACKGROUND.
The researchers wanted to see if knowing about your personal genetic risks would encourage you to make healthier diet and lifestyle choices. They ran a 6-month online trial across seven locations in Europe. Some people received general healthy eating advice while others received advice tailored to their personal nutrition needs. One specific group learned whether they had a certain gene variant that increased their risk of heart disease. They were told about the importance of eating enough folate, a type of B vitamin. The researchers then analyzed changes in their folate intake over six months. 

RESULTS.
There wasn't any difference in age, gender, or body weight between the groups. Although, the number of participants from each country was not evenly spread across the groups. The amount of folate the groups ate at the start of the trial was about the same. Over six months, no group's folate intake changed significantly. 

CONCLUSIONS.
The finding implies that just knowing if you have a risky gene variant does not necessarily encourage you to eat more folate. 

TRIAL REGISTRATION.
This trial is recorded on ClinicalTrials.gov under the number NCT01530139

ELECTRONIC SUPPLEMENTARY MATERIAL.
There is additional information online for this study, which can be accessed by authorized individuals.",How were the changes in folate intake analyzed?,"Using a general linear model analysis, which is a compact way of simultaneously writing several multiple linear regression models.",Background,5.3 - Analysis Technique,,
8,2c183262a9723ada3e3f18a354ca5ee5,3441250,karim,"BACKGROUND.
Intravenous fluid is recommended in international guidelines to improve patient post-operative symptoms, particularly nausea and vomiting. The optimum fluid regimen has not been established. This prospective, randomized, blinded study was designed to determine if administration of equivolumes of a colloid (hydroxyethyl starch 130/0.4) reduced post operative nausea and vomiting in healthy volunteers undergoing ambulatory gynecologic laparoscopy surgery compared to a crystalloid solution (Hartmann's Solution).

METHODS.
120 patients were randomized to receive intravenous colloid (N = 60) or crystalloid (N = 60) intra-operatively. The volume of fluid administered was calculated at 1.5 ml.kg-1 per hour of fasting. Patients were interviewed to assess nausea, vomiting, anti-emetic use, dizziness, sore throat, headache and subjective general well being at 30 minutes and 2, 24 and 48 hours post operatively. Pulmonary function testing was performed on a subgroup.

RESULTS.
At 2 hours the proportion of patients experiencing nausea (38.2 % vs 17.9%, P = 0.03) and the mean nausea score were increased in the colloid compared to crystalloid group respectively (1.49 ± 0.3 vs 0.68 ± 0.2, P = 0.028). The incidence of vomiting and anti-emetic usage was low and did not differ between the groups. Sore throat, dizziness, headache and general well being were not different between the groups. A comparable reduction on post-operative FVC and FEV-1 and PEFR was observed in both groups.

CONCLUSIONS.
Intra-operative administration of colloid increased the incidence of early postoperative nausea and has no advantage over crystalloid for symptom control after gynaecological laparoscopic surgery.","BACKGROUND.
This study aimed to find if using either of two kinds of fluids during surgery could help reduce the feelings of nausea and vomiting that patients often have after surgery. The fluids we used were known as colloid and crystalloid, and we administered them via an IV drip during a specific type of gynecologic surgery called laparoscopy.

METHODS.
We randomly divided 120 patients to either receive the colloid or crystalloid fluid during their surgery. The amount of fluid we gave was based on the patient's weight and how many hours they had gone without food. After surgery, we checked up on the patients four times (30 minutes, 2 hours, 24 hours, and 48 hours after surgery) to ask them about their symptoms. In a smaller set of patients, we also tested how well their lungs were working.

RESULTS.
We found that two hours after surgery, more patients that had received the colloid fluid felt nauseous (38.2% vs 17.9%) and their nausea was also worse than those who had received the crystalloid fluid. Vomiting and use of anti-nausea medication were low in both groups. We didn't see any differences when comparing symptoms like sore throat, dizziness, headache or general well-being. Both kinds of fluid caused similar reductions in lung function.

CONCLUSIONS.
Overall, we found that the use of colloid fluid during surgery increased post-surgery nausea and didn't have any advantages over crystalloid fluid in controlling post-surgery symptoms in gynecological laparoscopic surgery.",How many patients were receiving the colloid or crystalloid?,Patients were divided into equal groups with 60 patients.,Methods,5.1 - Experiment Protocol,,
9,58e6d4ea7c3ab2ee495120d26d3bced3,4609664,karim,"INTRODUCTION.
The aim of this study was to compare the formation of dentinal crack and craze lines in the root dentin during root canal preparation with three different NiTi endodontic systems, naming Reciproc (RCP), ProTaper Universal (PTU) and Mtwo.

METHODS AND MATERIALS.
One hundred extracted mandibular premolars with single canals were selected and decoronated. The teeth were randomly divided into four groups of 25 each (n=25). In groups 1, 2 and 3 the teeth were prepared using Mtwo, PTU and RCP, respectively. While in group 4 (control group) the samples were left unprepared. After preparation, all specimens were sectioned perpendicular to the long axis of root at 3, 5 and 9-mm distances from the apex. The sections were then individually observed under 12× magnification using stereomicroscope. The data was analyzed using the chi-square and Fisher's exact tests. The level of significance was set at 0.05.

RESULTS.
No cracks were observed in the control group. All engine-driven systems caused dentinal cracks. Mtwo and PTU caused cracks significantly more than RCP (P≺0.05). There was no significant difference between RCP and control group (P≻0.05).

CONCLUSION.
All three engine-driven systems created dentinal defects. Reciproc caused less cracks than Mtwo and ProTaper Universal.","INTRODUCTION.
This study looked at possible damage to teeth (called ""dentinal cracks and craze lines"") during root canal treatments using three different dental tools.

METHODS AND MATERIALS.
A hundred human premolars (kind of teeth) with single canals were used. They were grouped into four sets of 25 each. Teeth in the first three groups were treated with one of the three dental tools each. The last group's teeth were left untreated as a control. After these treatments, parts of the teeth were cut and examined under a microscope. The gathered data was then statistically analysed.

RESULTS.
The control group of untreated teeth showed no cracks. All the treatment methods caused some cracks. Two of the tools, Mtwo and ProTaper Universal, caused significantly more cracks than the third tool, Reciproc which didn't cause significantly more cracks than the untreated group. 

CONCLUSION.
All three treatment methods caused some dental damage. But the tool Reciproc caused the least, being nearly equivalent to no treatment at all.",What are the three dental tools?,"Naming Reciproc (RCP), ProTaper Universal (PTU) and Mtwo.",Background,4 - New treatment,,
